UGA.Sample.ID	Run.ID	File.Name
362	HVG3CDRXX	HVG3CDRXX_D362_R1
363	HVG3CDRXX	HVG3CDRXX_D363_R1
364	HVG3CDRXX	HVG3CDRXX_D364_R1
376	HVG3CDRXX	HVG3CDRXX_D376_R1
382	HVG3CDRXX	HVG3CDRXX_D382_R1
397	HVG3CDRXX	HVG3CDRXX_D397_R1
401	HVG3CDRXX	HVG3CDRXX_D401_R1
420	HVG3CDRXX	HVG3CDRXX_D420_R1
421	HVG3CDRXX	HVG3CDRXX_D421_R1
430	HVG3CDRXX	HVG3CDRXX_D430_R1
439	HVG3CDRXX	HVG3CDRXX_D439_R1
440	HVG3CDRXX	HVG3CDRXX_D440_R1
445	HVG3CDRXX	HVG3CDRXX_D445_R1
453	HVG3CDRXX	HVG3CDRXX_D453_R1
454	HVG3CDRXX	HVG3CDRXX_D454_R1
460	HVG3CDRXX	HVG3CDRXX_D460_R1
467	HVG3CDRXX	HVG3CDRXX_D467_R1
469	HVG3CDRXX	HVG3CDRXX_D469_R1
473	HVG3CDRXX	HVG3CDRXX_D473_R1
477	HVG3CDRXX	HVG3CDRXX_D477_R1
481	HVG3CDRXX	HVG3CDRXX_D481_R1
482	HVG3CDRXX	HVG3CDRXX_D482_R1
487	HVG3CDRXX	HVG3CDRXX_D487_R1
488	HVG3CDRXX	HVG3CDRXX_D488_R1
495	HVG3CDRXX	HVG3CDRXX_D495_R1
497	HVG3CDRXX	HVG3CDRXX_D497_R1
498	HVG3CDRXX	HVG3CDRXX_D498_R1
501	HVG3CDRXX	HVG3CDRXX_D501_R1
504	HVG3CDRXX	HVG3CDRXX_D504_R1
510	HVG3CDRXX	HVG3CDRXX_D510_R1
065	HVG3CDRXX	HVG3CDRXX_D65_R1
066	HVG3CDRXX	HVG3CDRXX_D66_R1
083	HVG3CDRXX	HVG3CDRXX_D83_R1
008	HVG3CDRXX	HVG3CDRXX_D8_R1
136	HVHVCDRXX	HVHVCDRXX_E136_R1
140	HVHVCDRXX	HVHVCDRXX_E140_R1
151	HVHVCDRXX	HVHVCDRXX_E151_R1
175	HVHVCDRXX	HVHVCDRXX_E175_R1
207	HVHVCDRXX	HVHVCDRXX_E207_R1
211	HVHVCDRXX	HVHVCDRXX_E211_R1
217	HVHVCDRXX	HVHVCDRXX_E217_R1
219	HVHVCDRXX	HVHVCDRXX_E219_R1
222	HVHVCDRXX	HVHVCDRXX_E222_R1
232	HVHVCDRXX	HVHVCDRXX_E232_R1
238	HVHVCDRXX	HVHVCDRXX_E238_R1
243	HVHVCDRXX	HVHVCDRXX_E243_R1
249	HVHVCDRXX	HVHVCDRXX_E249_R1
